NAME,STATE,ANNUAL
Iranduba,AMAZONAS,4517
Alvarães,AMAZONAS,4553
Careiro da Várzea,AMAZONAS,4528
Santo Antônio do Içá,AMAZONAS,4524
Manaus,AMAZONAS,4323
Itacoatiara,AMAZONAS,4538
Urucurituba,AMAZONAS,4435
Uarini,AMAZONAS,4572
Boa Vista do Ramos,AMAZONAS,4375
Tonantins,AMAZONAS,4533
Silves,AMAZONAS,4452
Barreirinha,AMAZONAS,4572
Jutaí,AMAZONAS,4495
Rio Preto da Eva,AMAZONAS,4330
Itapiranga,AMAZONAS,4536
Novo Airão,AMAZONAS,4536
São Sebastião do Uatumã,AMAZONAS,4566
Parintins,AMAZONAS,4618
Fonte Boa,AMAZONAS,4580
Urucará,AMAZONAS,4517
Nhamundá,AMAZONAS,4650
Presidente Figueiredo,AMAZONAS,4372
Japurá,AMAZONAS,4557
Maraã,AMAZONAS,4590
Barcelos,AMAZONAS,4613
Santa Isabel do Rio Negro,AMAZONAS,4604
São Gabriel da Cachoeira,AMAZONAS,4664
Mucuri,BAHIA,5135
Nova Viçosa,BAHIA,5066
Ibirapuã,BAHIA,4922
Caravelas,BAHIA,5042
Lajedão,BAHIA,4933
Teixeira de Freitas,BAHIA,4892
Alcobaça,BAHIA,5111
Medeiros Neto,BAHIA,4959
Prado,BAHIA,5127
Itanhém,BAHIA,4982
Vereda,BAHIA,4981
Itamaraju,BAHIA,4863
Jucuruçu,BAHIA,4899
Guaratinga,BAHIA,4862
Itabela,BAHIA,4850
Eunápolis,BAHIA,4846
Porto Seguro,BAHIA,5127
Santa Cruz Cabrália,BAHIA,5078
Itagimirim,BAHIA,4878
Itapebi,BAHIA,4863
Belmonte,BAHIA,5276
Itarantim,BAHIA,4934
Canavieiras,BAHIA,5199
Macarani,BAHIA,4897
Maiquinique,BAHIA,4851
Potiraguá,BAHIA,4859
Mascote,BAHIA,4854
Cândido Sales,BAHIA,5055
Encruzilhada,BAHIA,4986
Ribeirão do Largo,BAHIA,4929
Pau Brasil,BAHIA,4880
Camacan,BAHIA,4787
Santa Luzia,BAHIA,4762
Arataca,BAHIA,4694
Una,BAHIA,5044
Itambé,BAHIA,4946
Itapetinga,BAHIA,4899
Jussari,BAHIA,4723
Itororó,BAHIA,4863
Itaju do Colônia,BAHIA,4865
São José da Vitória,BAHIA,4712
Mortugaba,BAHIA,5336
Cordeiros,BAHIA,5317
Tremedal,BAHIA,5250
Belo Campo,BAHIA,5230
Caatiba,BAHIA,4902
Firmino Alves,BAHIA,4818
Santa Cruz da Vitória,BAHIA,4834
Buerarema,BAHIA,4822
Condeúba,BAHIA,5349
Piripá,BAHIA,5324
Vitória da Conquista,BAHIA,5081
Barra do Choça,BAHIA,4954
Floresta Azul,BAHIA,4870
Ibicaraí,BAHIA,4857
Itapé,BAHIA,4864
Urandi,BAHIA,5793
Jacaraci,BAHIA,5365
Nova Canaã,BAHIA,4888
Iguaí,BAHIA,4855
Ibicuí,BAHIA,4834
Barro Preto,BAHIA,4756
Itabuna,BAHIA,4900
Ilhéus,BAHIA,5181
Licínio de Almeida,BAHIA,5589
Presidente Jânio Quadros,BAHIA,5309
Maetinga,BAHIA,5299
Caraíbas,BAHIA,5339
Planalto,BAHIA,4933
Almadina,BAHIA,4694
Itajuípe,BAHIA,4815
Sebastião Laranjeiras,BAHIA,5809
Anagé,BAHIA,5304
Coaraci,BAHIA,4730
Uruçuca,BAHIA,4870
Pindaí,BAHIA,5837
Caculé,BAHIA,5433
Guajeru,BAHIA,5424
Poções,BAHIA,4959
Iuiú,BAHIA,5779
Candiba,BAHIA,5804
Rio do Antônio,BAHIA,5471
Malhada de Pedras,BAHIA,5455
Aracatu,BAHIA,5390
Bom Jesus da Serra,BAHIA,5017
Boa Nova,BAHIA,4999
Dário Meira,BAHIA,4835
Itapitanga,BAHIA,4839
Carinhanha,BAHIA,5864
Malhada,BAHIA,5864
Palmas de Monte Alto,BAHIA,5823
Ibiassucê,BAHIA,5499
Caetanos,BAHIA,5236
Itagibá,BAHIA,4860
Gongogi,BAHIA,4881
Ubaitaba,BAHIA,4868
Aurelino Leal,BAHIA,4868
Itacaré,BAHIA,5290
Cocos,BAHIA,5870
Feira da Mata,BAHIA,5843
Guanambi,BAHIA,5849
Brumado,BAHIA,5448
Mirante,BAHIA,5149
Itagi,BAHIA,4888
Barra do Rocha,BAHIA,4901
Ubatã,BAHIA,4870
Ibirapitanga,BAHIA,4823
Caetité,BAHIA,5601
Manoel Vitorino,BAHIA,4950
Aiquara,BAHIA,4919
Ipiaú,BAHIA,4885
Ibirataia,BAHIA,4848
Maraú,BAHIA,5011
Lagoa Real,BAHIA,5561
Tanhaçu,BAHIA,5355
Jitaúna,BAHIA,4876
Matina,BAHIA,5836
Jequié,BAHIA,4979
Apuarema,BAHIA,4765
Camamu,BAHIA,4890
Coribe,BAHIA,5810
Igaporã,BAHIA,5816
Dom Basílio,BAHIA,5610
Ituaçu,BAHIA,5284
Contendas do Sincorá,BAHIA,5201
Nova Ibiá,BAHIA,4815
Itamari,BAHIA,4815
Piraí do Norte,BAHIA,4811
Igrapiúna,BAHIA,4925
Lafaiete Coutinho,BAHIA,4914
Wenceslau Guimarães,BAHIA,4844
Gandu,BAHIA,4844
Ituberá,BAHIA,4914
Jaborandi,BAHIA,5804
Riacho de Santana,BAHIA,5816
Rio de Contas,BAHIA,5492
Livramento de Nossa Senhora,BAHIA,5492
Barra da Estiva,BAHIA,5241
Teolândia,BAHIA,4849
Nilo Peçanha,BAHIA,4910
Serra do Ramalho,BAHIA,5891
Tanque Novo,BAHIA,5832
Jussiape,BAHIA,5419
